Events	Human	Chimpanzee	#1#	Gorilla	Gibbon
0	0.0	0.0	1814.0	0.0	0.0
1	1.0	6.0	7559.0	0.0	0.0
2	22.0	40.0	15160.0	0.0	0.0
3	86.0	160.0	20106.0	5.0	0.0
4	320.0	498.0	20030.0	14.0	0.0
5	842.0	1212.0	15496.0	42.0	0.0
6	1832.0	2621.0	9948.0	145.0	0.0
7	3372.0	4561.0	5545.0	367.0	0.0
8	5378.0	6929.0	2614.0	788.0	0.0
9	7824.0	9548.0	1122.0	1536.0	0.0
10	10066.0	11483.0	405.0	2723.0	0.0
11	11757.0	12243.0	148.0	4266.0	0.0
12	12087.0	12114.0	42.0	6042.0	0.0
13	11591.0	10805.0	10.0	7878.0	0.0
14	10165.0	8984.0	0.0	9509.0	0.0
15	8174.0	6621.0	1.0	10452.0	0.0
16	6011.0	4708.0	0.0	10588.0	0.0
17	4140.0	3204.0	0.0	10358.0	0.0
18	2728.0	1981.0	0.0	9246.0	0.0
19	1647.0	1143.0	0.0	7690.0	0.0
20	957.0	582.0	0.0	6023.0	0.0
21	515.0	309.0	0.0	4423.0	0.0
22	282.0	151.0	0.0	3162.0	0.0
23	110.0	56.0	0.0	1994.0	0.0
24	50.0	30.0	0.0	1213.0	0.0
25	28.0	9.0	0.0	702.0	0.0
26	9.0	1.0	0.0	429.0	0.0
27	4.0	1.0	0.0	218.0	0.0
28	1.0	0.0	0.0	91.0	0.0
29	1.0	0.0	0.0	52.0	0.0
30	0.0	0.0	0.0	26.0	0.0
31	0.0	0.0	0.0	14.0	0.0
32	0.0	0.0	0.0	4.0	0.0
33	0.0	0.0	0.0	0.0	0.0
34	0.0	0.0	0.0	0.0	0.0
35	0.0	0.0	0.0	0.0	0.0
36	0.0	0.0	0.0	0.0	0.0
37	0.0	0.0	0.0	0.0	0.0
38	0.0	0.0	0.0	0.0	0.0
39	0.0	0.0	0.0	0.0	0.0
40	0.0	0.0	0.0	0.0	2.0
41	0.0	0.0	0.0	0.0	4.0
42	0.0	0.0	0.0	0.0	8.0
43	0.0	0.0	0.0	0.0	23.0
44	0.0	0.0	0.0	0.0	30.0
45	0.0	0.0	0.0	0.0	69.0
46	0.0	0.0	0.0	0.0	114.0
47	0.0	0.0	0.0	0.0	198.0
48	0.0	0.0	0.0	0.0	329.0
49	0.0	0.0	0.0	0.0	445.0
50	0.0	0.0	0.0	0.0	785.0
51	0.0	0.0	0.0	0.0	1175.0
52	0.0	0.0	0.0	0.0	1741.0
53	0.0	0.0	0.0	0.0	2412.0
54	0.0	0.0	0.0	0.0	3098.0
55	0.0	0.0	0.0	0.0	3930.0
56	0.0	0.0	0.0	0.0	4881.0
57	0.0	0.0	0.0	0.0	5882.0
58	0.0	0.0	0.0	0.0	6672.0
59	0.0	0.0	0.0	0.0	7158.0
60	0.0	0.0	0.0	0.0	7687.0
61	0.0	0.0	0.0	0.0	7944.0
62	0.0	0.0	0.0	0.0	7834.0
63	0.0	0.0	0.0	0.0	7087.0
64	0.0	0.0	0.0	0.0	6509.0
65	0.0	0.0	0.0	0.0	5799.0
66	0.0	0.0	0.0	0.0	4975.0
67	0.0	0.0	0.0	0.0	3856.0
68	0.0	0.0	0.0	0.0	2915.0
69	0.0	0.0	0.0	0.0	2126.0
70	0.0	0.0	0.0	0.0	1647.0
71	0.0	0.0	0.0	0.0	1079.0
72	0.0	0.0	0.0	0.0	644.0
73	0.0	0.0	0.0	0.0	432.0
74	0.0	0.0	0.0	0.0	228.0
75	0.0	0.0	0.0	0.0	139.0
76	0.0	0.0	0.0	0.0	72.0
77	0.0	0.0	0.0	0.0	33.0
78	0.0	0.0	0.0	0.0	19.0
79	0.0	0.0	0.0	0.0	13.0
80	0.0	0.0	0.0	0.0	3.0
81	0.0	0.0	0.0	0.0	2.0
82	0.0	0.0	0.0	0.0	1.0
83	0.0	0.0	0.0	0.0	0.0
84	0.0	0.0	0.0	0.0	0.0
85	0.0	0.0	0.0	0.0	0.0
86	0.0	0.0	0.0	0.0	0.0
87	0.0	0.0	0.0	0.0	0.0
88	0.0	0.0	0.0	0.0	0.0
89	0.0	0.0	0.0	0.0	0.0
90	0.0	0.0	0.0	0.0	0.0
91	0.0	0.0	0.0	0.0	0.0
92	0.0	0.0	0.0	0.0	0.0
93	0.0	0.0	0.0	0.0	0.0
94	0.0	0.0	0.0	0.0	0.0
95	0.0	0.0	0.0	0.0	0.0
96	0.0	0.0	0.0	0.0	0.0
97	0.0	0.0	0.0	0.0	0.0
98	0.0	0.0	0.0	0.0	0.0
99	0.0	0.0	0.0	0.0	0.0
100	0.0	0.0	0.0	0.0	0.0
101	0.0	0.0	0.0	0.0	0.0
102	0.0	0.0	0.0	0.0	0.0
103	0.0	0.0	0.0	0.0	0.0
104	0.0	0.0	0.0	0.0	0.0
105	0.0	0.0	0.0	0.0	0.0
