Events	Human	Chimpanzee	#1#	Gorilla	Gibbon
0	2.0	2.0	3197.0	0.0	0.0
1	10.0	34.0	11185.0	0.0	0.0
2	81.0	139.0	19371.0	6.0	0.0
3	333.0	532.0	22178.0	19.0	0.0
4	936.0	1373.0	18853.0	82.0	0.0
5	2236.0	3060.0	12921.0	219.0	0.0
6	4329.0	5492.0	6953.0	629.0	0.0
7	6981.0	8520.0	3274.0	1312.0	0.0
8	9735.0	10880.0	1365.0	2530.0	0.0
9	11885.0	12880.0	492.0	4098.0	0.0
10	13041.0	13268.0	153.0	6176.0	0.0
11	12483.0	12262.0	42.0	8455.0	0.0
12	11288.0	10050.0	11.0	9980.0	0.0
13	9031.0	7971.0	4.0	11426.0	0.0
14	6724.0	5533.0	1.0	11415.0	0.0
15	4621.0	3568.0	0.0	10985.0	0.0
16	2875.0	2113.0	0.0	9441.0	0.0
17	1607.0	1226.0	0.0	7542.0	0.0
18	932.0	587.0	0.0	5650.0	0.0
19	467.0	285.0	0.0	3898.0	0.0
20	235.0	153.0	0.0	2533.0	0.0
21	98.0	46.0	0.0	1641.0	0.0
22	41.0	17.0	0.0	952.0	0.0
23	18.0	4.0	0.0	531.0	0.0
24	5.0	4.0	0.0	239.0	0.0
25	3.0	1.0	0.0	128.0	0.0
26	2.0	0.0	0.0	60.0	0.0
27	0.0	0.0	0.0	29.0	0.0
28	0.0	0.0	0.0	17.0	0.0
29	1.0	0.0	0.0	4.0	0.0
30	0.0	0.0	0.0	1.0	0.0
31	0.0	0.0	0.0	1.0	0.0
32	0.0	0.0	0.0	0.0	1.0
33	0.0	0.0	0.0	1.0	2.0
34	0.0	0.0	0.0	0.0	3.0
35	0.0	0.0	0.0	0.0	5.0
36	0.0	0.0	0.0	0.0	20.0
37	0.0	0.0	0.0	0.0	35.0
38	0.0	0.0	0.0	0.0	79.0
39	0.0	0.0	0.0	0.0	111.0
40	0.0	0.0	0.0	0.0	216.0
41	0.0	0.0	0.0	0.0	397.0
42	0.0	0.0	0.0	0.0	640.0
43	0.0	0.0	0.0	0.0	1080.0
44	0.0	0.0	0.0	0.0	1574.0
45	0.0	0.0	0.0	0.0	2208.0
46	0.0	0.0	0.0	0.0	2977.0
47	0.0	0.0	0.0	0.0	4091.0
48	0.0	0.0	0.0	0.0	4978.0
49	0.0	0.0	0.0	0.0	6021.0
50	0.0	0.0	0.0	0.0	7184.0
51	0.0	0.0	0.0	0.0	7759.0
52	0.0	0.0	0.0	0.0	8281.0
53	0.0	0.0	0.0	0.0	8398.0
54	0.0	0.0	0.0	0.0	8261.0
55	0.0	0.0	0.0	0.0	7629.0
56	0.0	0.0	0.0	0.0	6810.0
57	0.0	0.0	0.0	0.0	5771.0
58	0.0	0.0	0.0	0.0	4621.0
59	0.0	0.0	0.0	0.0	3537.0
60	0.0	0.0	0.0	0.0	2562.0
61	0.0	0.0	0.0	0.0	1810.0
62	0.0	0.0	0.0	0.0	1163.0
63	0.0	0.0	0.0	0.0	722.0
64	0.0	0.0	0.0	0.0	475.0
65	0.0	0.0	0.0	0.0	256.0
66	0.0	0.0	0.0	0.0	154.0
67	0.0	0.0	0.0	0.0	92.0
68	0.0	0.0	0.0	0.0	37.0
69	0.0	0.0	0.0	0.0	28.0
70	0.0	0.0	0.0	0.0	10.0
71	0.0	0.0	0.0	0.0	2.0
72	0.0	0.0	0.0	0.0	0.0
73	0.0	0.0	0.0	0.0	0.0
74	0.0	0.0	0.0	0.0	0.0
75	0.0	0.0	0.0	0.0	0.0
76	0.0	0.0	0.0	0.0	0.0
77	0.0	0.0	0.0	0.0	0.0
78	0.0	0.0	0.0	0.0	0.0
79	0.0	0.0	0.0	0.0	0.0
80	0.0	0.0	0.0	0.0	0.0
81	0.0	0.0	0.0	0.0	0.0
82	0.0	0.0	0.0	0.0	0.0
83	0.0	0.0	0.0	0.0	0.0
84	0.0	0.0	0.0	0.0	0.0
85	0.0	0.0	0.0	0.0	0.0
86	0.0	0.0	0.0	0.0	0.0
87	0.0	0.0	0.0	0.0	0.0
88	0.0	0.0	0.0	0.0	0.0
89	0.0	0.0	0.0	0.0	0.0
90	0.0	0.0	0.0	0.0	0.0
91	0.0	0.0	0.0	0.0	0.0
