Events	Human	Chimpanzee	#1#	Gorilla	Gibbon
0	0.0	0.0	729.0	0.0	0.0
1	1.0	0.0	3565.0	0.0	0.0
2	2.0	3.0	8850.0	0.0	0.0
3	10.0	15.0	14686.0	0.0	0.0
4	27.0	53.0	18121.0	1.0	0.0
5	95.0	184.0	17804.0	5.0	0.0
6	281.0	455.0	14441.0	9.0	0.0
7	671.0	1033.0	10013.0	23.0	0.0
8	1303.0	2055.0	6090.0	64.0	0.0
9	2401.0	3403.0	3179.0	155.0	0.0
10	3967.0	5242.0	1521.0	340.0	0.0
11	5864.0	7374.0	656.0	682.0	0.0
12	7680.0	9138.0	221.0	1222.0	0.0
13	9222.0	10579.0	88.0	2125.0	0.0
14	10586.0	11117.0	24.0	3405.0	0.0
15	10901.0	10704.0	8.0	4577.0	0.0
16	10320.0	9754.0	3.0	6140.0	0.0
17	9361.0	8256.0	1.0	7543.0	0.0
18	7856.0	6699.0	0.0	8752.0	0.0
19	6292.0	4934.0	0.0	9274.0	0.0
20	4552.0	3455.0	0.0	9617.0	0.0
21	3276.0	2244.0	0.0	9265.0	0.0
22	2121.0	1434.0	0.0	8535.0	0.0
23	1382.0	866.0	0.0	7195.0	0.0
24	842.0	509.0	0.0	5977.0	0.0
25	478.0	240.0	0.0	4750.0	0.0
26	265.0	148.0	0.0	3520.0	0.0
27	132.0	62.0	0.0	2408.0	0.0
28	63.0	22.0	0.0	1758.0	0.0
29	32.0	12.0	0.0	1059.0	0.0
30	8.0	8.0	0.0	707.0	0.0
31	7.0	2.0	0.0	385.0	0.0
32	0.0	0.0	0.0	253.0	0.0
33	1.0	0.0	0.0	117.0	0.0
34	1.0	0.0	0.0	59.0	0.0
35	0.0	0.0	0.0	50.0	0.0
36	0.0	0.0	0.0	13.0	0.0
37	0.0	0.0	0.0	8.0	0.0
38	0.0	0.0	0.0	4.0	0.0
39	0.0	0.0	0.0	1.0	0.0
40	0.0	0.0	0.0	0.0	0.0
41	0.0	0.0	0.0	0.0	0.0
42	0.0	0.0	0.0	2.0	0.0
43	0.0	0.0	0.0	0.0	0.0
44	0.0	0.0	0.0	0.0	0.0
45	0.0	0.0	0.0	0.0	0.0
46	0.0	0.0	0.0	0.0	0.0
47	0.0	0.0	0.0	0.0	0.0
48	0.0	0.0	0.0	0.0	0.0
49	0.0	0.0	0.0	0.0	0.0
50	0.0	0.0	0.0	0.0	0.0
51	0.0	0.0	0.0	0.0	0.0
52	0.0	0.0	0.0	0.0	3.0
53	0.0	0.0	0.0	0.0	1.0
54	0.0	0.0	0.0	0.0	5.0
55	0.0	0.0	0.0	0.0	8.0
56	0.0	0.0	0.0	0.0	15.0
57	0.0	0.0	0.0	0.0	37.0
58	0.0	0.0	0.0	0.0	55.0
59	0.0	0.0	0.0	0.0	76.0
60	0.0	0.0	0.0	0.0	143.0
61	0.0	0.0	0.0	0.0	224.0
62	0.0	0.0	0.0	0.0	368.0
63	0.0	0.0	0.0	0.0	542.0
64	0.0	0.0	0.0	0.0	733.0
65	0.0	0.0	0.0	0.0	1104.0
66	0.0	0.0	0.0	0.0	1457.0
67	0.0	0.0	0.0	0.0	1952.0
68	0.0	0.0	0.0	0.0	2591.0
69	0.0	0.0	0.0	0.0	3236.0
70	0.0	0.0	0.0	0.0	4054.0
71	0.0	0.0	0.0	0.0	4794.0
72	0.0	0.0	0.0	0.0	5471.0
73	0.0	0.0	0.0	0.0	6047.0
74	0.0	0.0	0.0	0.0	6644.0
75	0.0	0.0	0.0	0.0	6928.0
76	0.0	0.0	0.0	0.0	6993.0
77	0.0	0.0	0.0	0.0	7112.0
78	0.0	0.0	0.0	0.0	6665.0
79	0.0	0.0	0.0	0.0	6213.0
80	0.0	0.0	0.0	0.0	5454.0
81	0.0	0.0	0.0	0.0	4620.0
82	0.0	0.0	0.0	0.0	4030.0
83	0.0	0.0	0.0	0.0	3321.0
84	0.0	0.0	0.0	0.0	2616.0
85	0.0	0.0	0.0	0.0	1945.0
86	0.0	0.0	0.0	0.0	1513.0
87	0.0	0.0	0.0	0.0	1058.0
88	0.0	0.0	0.0	0.0	703.0
89	0.0	0.0	0.0	0.0	469.0
90	0.0	0.0	0.0	0.0	325.0
91	0.0	0.0	0.0	0.0	200.0
92	0.0	0.0	0.0	0.0	132.0
93	0.0	0.0	0.0	0.0	71.0
94	0.0	0.0	0.0	0.0	40.0
95	0.0	0.0	0.0	0.0	16.0
96	0.0	0.0	0.0	0.0	4.0
97	0.0	0.0	0.0	0.0	6.0
98	0.0	0.0	0.0	0.0	5.0
99	0.0	0.0	0.0	0.0	0.0
100	0.0	0.0	0.0	0.0	1.0
101	0.0	0.0	0.0	0.0	0.0
102	0.0	0.0	0.0	0.0	0.0
103	0.0	0.0	0.0	0.0	0.0
104	0.0	0.0	0.0	0.0	0.0
105	0.0	0.0	0.0	0.0	0.0
106	0.0	0.0	0.0	0.0	0.0
107	0.0	0.0	0.0	0.0	0.0
108	0.0	0.0	0.0	0.0	0.0
109	0.0	0.0	0.0	0.0	0.0
110	0.0	0.0	0.0	0.0	0.0
111	0.0	0.0	0.0	0.0	0.0
112	0.0	0.0	0.0	0.0	0.0
113	0.0	0.0	0.0	0.0	0.0
114	0.0	0.0	0.0	0.0	0.0
115	0.0	0.0	0.0	0.0	0.0
116	0.0	0.0	0.0	0.0	0.0
117	0.0	0.0	0.0	0.0	0.0
118	0.0	0.0	0.0	0.0	0.0
119	0.0	0.0	0.0	0.0	0.0
120	0.0	0.0	0.0	0.0	0.0
