Events	Human	Chimpanzee	#1#	Gorilla	Gibbon
0	0.0	0.0	12.0	0.0	0.0
1	0.0	0.0	74.0	0.0	0.0
2	0.0	0.0	334.0	0.0	0.0
3	0.0	0.0	1157.0	0.0	0.0
4	0.0	0.0	2735.0	0.0	0.0
5	0.0	0.0	5213.0	0.0	0.0
6	0.0	0.0	8063.0	0.0	0.0
7	0.0	0.0	10912.0	0.0	0.0
8	0.0	1.0	12844.0	0.0	0.0
9	0.0	1.0	13184.0	0.0	0.0
10	1.0	2.0	12332.0	0.0	0.0
11	5.0	5.0	10496.0	0.0	0.0
12	10.0	23.0	8107.0	0.0	0.0
13	12.0	51.0	5778.0	0.0	0.0
14	39.0	103.0	3750.0	1.0	0.0
15	95.0	216.0	2311.0	1.0	0.0
16	164.0	387.0	1369.0	2.0	0.0
17	326.0	622.0	674.0	2.0	0.0
18	561.0	1052.0	362.0	3.0	0.0
19	941.0	1600.0	172.0	9.0	0.0
20	1416.0	2267.0	83.0	9.0	0.0
21	2067.0	3165.0	23.0	36.0	0.0
22	2848.0	4299.0	10.0	62.0	0.0
23	3821.0	5193.0	5.0	128.0	0.0
24	4720.0	6326.0	0.0	231.0	0.0
25	5779.0	7065.0	0.0	373.0	0.0
26	6576.0	7636.0	0.0	553.0	0.0
27	7366.0	8114.0	0.0	885.0	0.0
28	7585.0	7944.0	0.0	1261.0	0.0
29	7954.0	7548.0	0.0	1748.0	0.0
30	7819.0	7149.0	0.0	2381.0	0.0
31	7271.0	6185.0	0.0	3063.0	0.0
32	6553.0	5411.0	0.0	3708.0	0.0
33	5786.0	4547.0	0.0	4608.0	0.0
34	4984.0	3655.0	0.0	5318.0	0.0
35	3898.0	2743.0	0.0	5982.0	0.0
36	3181.0	2144.0	0.0	6491.0	0.0
37	2515.0	1504.0	0.0	6904.0	0.0
38	1840.0	1051.0	0.0	6940.0	0.0
39	1280.0	727.0	0.0	6713.0	0.0
40	906.0	494.0	0.0	6623.0	0.0
41	586.0	323.0	0.0	6306.0	0.0
42	428.0	167.0	0.0	5550.0	0.0
43	284.0	126.0	0.0	4990.0	0.0
44	160.0	74.0	0.0	4255.0	0.0
45	90.0	40.0	0.0	3509.0	0.0
46	53.0	15.0	0.0	2870.0	0.0
47	33.0	13.0	0.0	2225.0	0.0
48	19.0	8.0	0.0	1709.0	0.0
49	12.0	3.0	0.0	1365.0	0.0
50	5.0	1.0	0.0	1028.0	0.0
51	5.0	0.0	0.0	693.0	0.0
52	4.0	0.0	0.0	490.0	0.0
53	1.0	0.0	0.0	365.0	0.0
54	1.0	0.0	0.0	231.0	0.0
55	0.0	0.0	0.0	151.0	0.0
56	0.0	0.0	0.0	96.0	0.0
57	0.0	0.0	0.0	50.0	0.0
58	0.0	0.0	0.0	25.0	0.0
59	0.0	0.0	0.0	26.0	0.0
60	0.0	0.0	0.0	15.0	0.0
61	0.0	0.0	0.0	6.0	0.0
62	0.0	0.0	0.0	5.0	0.0
63	0.0	0.0	0.0	3.0	0.0
64	0.0	0.0	0.0	1.0	0.0
65	0.0	0.0	0.0	1.0	0.0
66	0.0	0.0	0.0	0.0	0.0
67	0.0	0.0	0.0	0.0	0.0
68	0.0	0.0	0.0	0.0	0.0
69	0.0	0.0	0.0	0.0	0.0
70	0.0	0.0	0.0	0.0	0.0
71	0.0	0.0	0.0	0.0	0.0
72	0.0	0.0	0.0	0.0	0.0
73	0.0	0.0	0.0	0.0	0.0
74	0.0	0.0	0.0	0.0	0.0
75	0.0	0.0	0.0	0.0	0.0
76	0.0	0.0	0.0	0.0	0.0
77	0.0	0.0	0.0	0.0	0.0
78	0.0	0.0	0.0	0.0	0.0
79	0.0	0.0	0.0	0.0	0.0
80	0.0	0.0	0.0	0.0	0.0
81	0.0	0.0	0.0	0.0	0.0
82	0.0	0.0	0.0	0.0	0.0
83	0.0	0.0	0.0	0.0	0.0
84	0.0	0.0	0.0	0.0	0.0
85	0.0	0.0	0.0	0.0	0.0
86	0.0	0.0	0.0	0.0	0.0
87	0.0	0.0	0.0	0.0	0.0
88	0.0	0.0	0.0	0.0	0.0
89	0.0	0.0	0.0	0.0	0.0
90	0.0	0.0	0.0	0.0	0.0
91	0.0	0.0	0.0	0.0	0.0
92	0.0	0.0	0.0	0.0	0.0
93	0.0	0.0	0.0	0.0	0.0
94	0.0	0.0	0.0	0.0	0.0
95	0.0	0.0	0.0	0.0	0.0
96	0.0	0.0	0.0	0.0	0.0
97	0.0	0.0	0.0	0.0	0.0
98	0.0	0.0	0.0	0.0	0.0
99	0.0	0.0	0.0	0.0	0.0
100	0.0	0.0	0.0	0.0	0.0
101	0.0	0.0	0.0	0.0	0.0
102	0.0	0.0	0.0	0.0	0.0
103	0.0	0.0	0.0	0.0	0.0
104	0.0	0.0	0.0	0.0	0.0
105	0.0	0.0	0.0	0.0	0.0
