Events	Human	Chimpanzee	#1#	Gorilla	Gibbon
0	1903.0	2343.0	29843.0	461.0	0.0
1	7807.0	9127.0	36729.0	2673.0	0.0
2	16116.0	17818.0	21991.0	7721.0	0.0
3	21419.0	22404.0	8436.0	14120.0	0.0
4	20573.0	20251.0	2401.0	18744.0	0.0
5	15420.0	14176.0	486.0	19342.0	1.0
6	9179.0	7955.0	95.0	15564.0	0.0
7	4764.0	3785.0	14.0	10443.0	5.0
8	1870.0	1462.0	5.0	6104.0	14.0
9	667.0	491.0	0.0	2846.0	41.0
10	209.0	149.0	0.0	1333.0	145.0
11	59.0	29.0	0.0	446.0	401.0
12	11.0	10.0	0.0	155.0	994.0
13	3.0	0.0	0.0	37.0	2091.0
14	0.0	0.0	0.0	6.0	3708.0
15	0.0	0.0	0.0	5.0	6213.0
16	0.0	0.0	0.0	0.0	9209.0
17	0.0	0.0	0.0	0.0	12091.0
18	0.0	0.0	0.0	0.0	14012.0
19	0.0	0.0	0.0	0.0	14132.0
20	0.0	0.0	0.0	0.0	12436.0
21	0.0	0.0	0.0	0.0	10023.0
22	0.0	0.0	0.0	0.0	6862.0
23	0.0	0.0	0.0	0.0	4093.0
24	0.0	0.0	0.0	0.0	2120.0
25	0.0	0.0	0.0	0.0	904.0
26	0.0	0.0	0.0	0.0	369.0
27	0.0	0.0	0.0	0.0	109.0
28	0.0	0.0	0.0	0.0	23.0
29	0.0	0.0	0.0	0.0	2.0
30	0.0	0.0	0.0	0.0	2.0
31	0.0	0.0	0.0	0.0	0.0
32	0.0	0.0	0.0	0.0	0.0
