Events	Human	Chimpanzee	#1#	Gorilla	Gibbon
0	15240.0	17044.0	56720.0	8109.0	1
1	30641.0	31909.0	32669.0	22222.0	2
2	28488.0	27842.0	8915.0	28348.0	51
3	16504.0	15471.0	1494.0	22288.0	270
4	6700.0	5709.0	179.0	12264.0	1158
5	1884.0	1563.0	23.0	4805.0	3424
6	459.0	399.0	0.0	1523.0	7683
7	75.0	54.0	0.0	369.0	13858
8	8.0	8.0	0.0	67.0	19013
9	1.0	1.0	0.0	4.0	20556
10	0.0	0.0	0.0	1.0	16784
11	0.0	0.0	0.0	0.0	10499
12	0.0	0.0	0.0	0.0	4870
13	0.0	0.0	0.0	0.0	1488
14	0.0	0.0	0.0	0.0	317
15	0.0	0.0	0.0	0.0	26
