Events	Human	Chimpanzee	#1#	Gorilla	Gibbon
0	0.0	0.0	22.0	0.0	0.0
1	0.0	0.0	183.0	0.0	0.0
2	0.0	0.0	875.0	0.0	0.0
3	0.0	0.0	2507.0	0.0	0.0
4	0.0	0.0	5086.0	0.0	0.0
5	0.0	0.0	8593.0	0.0	0.0
6	0.0	0.0	11736.0	0.0	0.0
7	0.0	1.0	14121.0	0.0	0.0
8	2.0	3.0	14152.0	0.0	0.0
9	4.0	11.0	12798.0	0.0	0.0
10	17.0	34.0	10357.0	0.0	0.0
11	29.0	65.0	7693.0	0.0	0.0
12	68.0	166.0	5152.0	1.0	0.0
13	159.0	330.0	3144.0	1.0	0.0
14	325.0	613.0	1769.0	3.0	0.0
15	574.0	1028.0	975.0	8.0	0.0
16	987.0	1644.0	490.0	9.0	0.0
17	1568.0	2372.0	200.0	22.0	0.0
18	2208.0	3456.0	80.0	52.0	0.0
19	3288.0	4619.0	40.0	105.0	0.0
20	4303.0	5868.0	18.0	205.0	0.0
21	5501.0	6940.0	5.0	338.0	0.0
22	6542.0	7909.0	1.0	581.0	0.0
23	7393.0	8333.0	1.0	958.0	0.0
24	8020.0	8620.0	2.0	1364.0	0.0
25	8440.0	8284.0	0.0	1952.0	0.0
26	8344.0	7721.0	0.0	2713.0	0.0
27	7814.0	7037.0	0.0	3506.0	0.0
28	7050.0	6164.0	0.0	4296.0	0.0
29	6224.0	5000.0	0.0	5285.0	0.0
30	5272.0	3902.0	0.0	6014.0	0.0
31	4406.0	3040.0	0.0	6722.0	0.0
32	3361.0	2227.0	0.0	7176.0	0.0
33	2593.0	1610.0	0.0	7543.0	0.0
34	1873.0	1106.0	0.0	7409.0	0.0
35	1283.0	720.0	0.0	7134.0	0.0
36	814.0	465.0	0.0	6621.0	0.0
37	623.0	284.0	0.0	6004.0	0.0
38	367.0	214.0	0.0	5248.0	0.0
39	218.0	86.0	0.0	4452.0	0.0
40	142.0	59.0	0.0	3599.0	0.0
41	71.0	32.0	0.0	3054.0	0.0
42	44.0	14.0	0.0	2209.0	0.0
43	33.0	10.0	0.0	1729.0	0.0
44	24.0	7.0	0.0	1219.0	0.0
45	8.0	4.0	0.0	859.0	0.0
46	5.0	0.0	0.0	605.0	0.0
47	2.0	1.0	0.0	378.0	0.0
48	1.0	0.0	0.0	234.0	0.0
49	0.0	1.0	0.0	171.0	0.0
50	0.0	0.0	0.0	94.0	0.0
51	0.0	0.0	0.0	50.0	0.0
52	0.0	0.0	0.0	31.0	0.0
53	0.0	0.0	0.0	19.0	0.0
54	0.0	0.0	0.0	9.0	0.0
55	0.0	0.0	0.0	10.0	0.0
56	0.0	0.0	0.0	4.0	0.0
57	0.0	0.0	0.0	3.0	0.0
58	0.0	0.0	0.0	1.0	0.0
59	0.0	0.0	0.0	0.0	0.0
60	0.0	0.0	0.0	0.0	0.0
61	0.0	0.0	0.0	0.0	0.0
62	0.0	0.0	0.0	0.0	0.0
63	0.0	0.0	0.0	0.0	0.0
64	0.0	0.0	0.0	0.0	0.0
65	0.0	0.0	0.0	0.0	0.0
66	0.0	0.0	0.0	0.0	0.0
67	0.0	0.0	0.0	0.0	0.0
68	0.0	0.0	0.0	0.0	0.0
69	0.0	0.0	0.0	0.0	0.0
70	0.0	0.0	0.0	0.0	0.0
71	0.0	0.0	0.0	0.0	0.0
72	0.0	0.0	0.0	0.0	0.0
73	0.0	0.0	0.0	0.0	0.0
74	0.0	0.0	0.0	0.0	0.0
75	0.0	0.0	0.0	0.0	0.0
76	0.0	0.0	0.0	0.0	0.0
77	0.0	0.0	0.0	0.0	0.0
78	0.0	0.0	0.0	0.0	0.0
79	0.0	0.0	0.0	0.0	0.0
80	0.0	0.0	0.0	0.0	0.0
81	0.0	0.0	0.0	0.0	0.0
82	0.0	0.0	0.0	0.0	0.0
83	0.0	0.0	0.0	0.0	0.0
84	0.0	0.0	0.0	0.0	0.0
85	0.0	0.0	0.0	0.0	0.0
86	0.0	0.0	0.0	0.0	0.0
87	0.0	0.0	0.0	0.0	0.0
88	0.0	0.0	0.0	0.0	0.0
89	0.0	0.0	0.0	0.0	0.0
90	0.0	0.0	0.0	0.0	0.0
91	0.0	0.0	0.0	0.0	0.0
92	0.0	0.0	0.0	0.0	0.0
93	0.0	0.0	0.0	0.0	0.0
94	0.0	0.0	0.0	0.0	0.0
95	0.0	0.0	0.0	0.0	0.0
96	0.0	0.0	0.0	0.0	1.0
97	0.0	0.0	0.0	0.0	1.0
98	0.0	0.0	0.0	0.0	0.0
99	0.0	0.0	0.0	0.0	3.0
100	0.0	0.0	0.0	0.0	9.0
101	0.0	0.0	0.0	0.0	15.0
102	0.0	0.0	0.0	0.0	9.0
103	0.0	0.0	0.0	0.0	25.0
104	0.0	0.0	0.0	0.0	35.0
105	0.0	0.0	0.0	0.0	69.0
106	0.0	0.0	0.0	0.0	83.0
107	0.0	0.0	0.0	0.0	133.0
108	0.0	0.0	0.0	0.0	220.0
109	0.0	0.0	0.0	0.0	300.0
110	0.0	0.0	0.0	0.0	361.0
111	0.0	0.0	0.0	0.0	445.0
112	0.0	0.0	0.0	0.0	699.0
113	0.0	0.0	0.0	0.0	847.0
114	0.0	0.0	0.0	0.0	1137.0
115	0.0	0.0	0.0	0.0	1408.0
116	0.0	0.0	0.0	0.0	1785.0
117	0.0	0.0	0.0	0.0	2160.0
118	0.0	0.0	0.0	0.0	2609.0
119	0.0	0.0	0.0	0.0	2980.0
120	0.0	0.0	0.0	0.0	3516.0
121	0.0	0.0	0.0	0.0	3925.0
122	0.0	0.0	0.0	0.0	4343.0
123	0.0	0.0	0.0	0.0	4655.0
124	0.0	0.0	0.0	0.0	4874.0
125	0.0	0.0	0.0	0.0	5194.0
126	0.0	0.0	0.0	0.0	5449.0
127	0.0	0.0	0.0	0.0	5441.0
128	0.0	0.0	0.0	0.0	5407.0
129	0.0	0.0	0.0	0.0	5376.0
130	0.0	0.0	0.0	0.0	5090.0
131	0.0	0.0	0.0	0.0	4750.0
132	0.0	0.0	0.0	0.0	4376.0
133	0.0	0.0	0.0	0.0	3884.0
134	0.0	0.0	0.0	0.0	3471.0
135	0.0	0.0	0.0	0.0	2933.0
136	0.0	0.0	0.0	0.0	2560.0
137	0.0	0.0	0.0	0.0	2090.0
138	0.0	0.0	0.0	0.0	1707.0
139	0.0	0.0	0.0	0.0	1427.0
140	0.0	0.0	0.0	0.0	1125.0
141	0.0	0.0	0.0	0.0	861.0
142	0.0	0.0	0.0	0.0	658.0
143	0.0	0.0	0.0	0.0	486.0
144	0.0	0.0	0.0	0.0	345.0
145	0.0	0.0	0.0	0.0	256.0
146	0.0	0.0	0.0	0.0	159.0
147	0.0	0.0	0.0	0.0	95.0
148	0.0	0.0	0.0	0.0	86.0
149	0.0	0.0	0.0	0.0	43.0
150	0.0	0.0	0.0	0.0	29.0
151	0.0	0.0	0.0	0.0	21.0
152	0.0	0.0	0.0	0.0	15.0
153	0.0	0.0	0.0	0.0	6.0
154	0.0	0.0	0.0	0.0	5.0
155	0.0	0.0	0.0	0.0	3.0
156	0.0	0.0	0.0	0.0	2.0
157	0.0	0.0	0.0	0.0	1.0
158	0.0	0.0	0.0	0.0	1.0
159	0.0	0.0	0.0	0.0	1.0
160	0.0	0.0	0.0	0.0	0.0
161	0.0	0.0	0.0	0.0	0.0
162	0.0	0.0	0.0	0.0	0.0
163	0.0	0.0	0.0	0.0	0.0
164	0.0	0.0	0.0	0.0	0.0
165	0.0	0.0	0.0	0.0	0.0
166	0.0	0.0	0.0	0.0	0.0
167	0.0	0.0	0.0	0.0	0.0
168	0.0	0.0	0.0	0.0	0.0
169	0.0	0.0	0.0	0.0	0.0
170	0.0	0.0	0.0	0.0	0.0
171	0.0	0.0	0.0	0.0	0.0
172	0.0	0.0	0.0	0.0	0.0
173	0.0	0.0	0.0	0.0	0.0
174	0.0	0.0	0.0	0.0	0.0
175	0.0	0.0	0.0	0.0	0.0
176	0.0	0.0	0.0	0.0	0.0
177	0.0	0.0	0.0	0.0	0.0
178	0.0	0.0	0.0	0.0	0.0
179	0.0	0.0	0.0	0.0	0.0
180	0.0	0.0	0.0	0.0	0.0
181	0.0	0.0	0.0	0.0	0.0
182	0.0	0.0	0.0	0.0	0.0
183	0.0	0.0	0.0	0.0	0.0
184	0.0	0.0	0.0	0.0	0.0
185	0.0	0.0	0.0	0.0	0.0
186	0.0	0.0	0.0	0.0	0.0
187	0.0	0.0	0.0	0.0	0.0
188	0.0	0.0	0.0	0.0	0.0
189	0.0	0.0	0.0	0.0	0.0
190	0.0	0.0	0.0	0.0	0.0
191	0.0	0.0	0.0	0.0	0.0
192	0.0	0.0	0.0	0.0	0.0
193	0.0	0.0	0.0	0.0	0.0
194	0.0	0.0	0.0	0.0	0.0
195	0.0	0.0	0.0	0.0	0.0
196	0.0	0.0	0.0	0.0	0.0
197	0.0	0.0	0.0	0.0	0.0
198	0.0	0.0	0.0	0.0	0.0
199	0.0	0.0	0.0	0.0	0.0
200	0.0	0.0	0.0	0.0	0.0
201	0.0	0.0	0.0	0.0	0.0
202	0.0	0.0	0.0	0.0	0.0
203	0.0	0.0	0.0	0.0	0.0
204	0.0	0.0	0.0	0.0	0.0
205	0.0	0.0	0.0	0.0	0.0
206	0.0	0.0	0.0	0.0	0.0
207	0.0	0.0	0.0	0.0	0.0
208	0.0	0.0	0.0	0.0	0.0
209	0.0	0.0	0.0	0.0	0.0
210	0.0	0.0	0.0	0.0	0.0
211	0.0	0.0	0.0	0.0	0.0
