Events	Human	Chimpanzee	#1#	Gorilla	Gibbon
0	539.0	694.0	20380.0	94.0	0.0
1	2877.0	3795.0	32907.0	657.0	0.0
2	8030.0	9534.0	26278.0	2547.0	0.0
3	14268.0	15734.0	13452.0	6205.0	0.0
4	18506.0	19232.0	4966.0	10919.0	0.0
5	18657.0	18493.0	1582.0	15158.0	0.0
6	15254.0	14371.0	345.0	16813.0	0.0
7	10612.0	9158.0	71.0	16020.0	0.0
8	6083.0	5054.0	15.0	12797.0	0.0
9	3056.0	2414.0	4.0	8756.0	1.0
10	1322.0	987.0	0.0	5222.0	0.0
11	551.0	366.0	0.0	2692.0	0.0
12	183.0	120.0	0.0	1282.0	10.0
13	47.0	40.0	0.0	557.0	25.0
14	13.0	5.0	0.0	186.0	69.0
15	2.0	2.0	0.0	68.0	165.0
16	0.0	1.0	0.0	21.0	468.0
17	0.0	0.0	0.0	5.0	917.0
18	0.0	0.0	0.0	1.0	1793.0
19	0.0	0.0	0.0	0.0	3174.0
20	0.0	0.0	0.0	0.0	4797.0
21	0.0	0.0	0.0	0.0	7102.0
22	0.0	0.0	0.0	0.0	9346.0
23	0.0	0.0	0.0	0.0	11430.0
24	0.0	0.0	0.0	0.0	12063.0
25	0.0	0.0	0.0	0.0	12105.0
26	0.0	0.0	0.0	0.0	11273.0
27	0.0	0.0	0.0	0.0	9013.0
28	0.0	0.0	0.0	0.0	6630.0
29	0.0	0.0	0.0	0.0	4459.0
30	0.0	0.0	0.0	0.0	2560.0
31	0.0	0.0	0.0	0.0	1465.0
32	0.0	0.0	0.0	0.0	674.0
33	0.0	0.0	0.0	0.0	297.0
34	0.0	0.0	0.0	0.0	122.0
35	0.0	0.0	0.0	0.0	30.0
36	0.0	0.0	0.0	0.0	11.0
37	0.0	0.0	0.0	0.0	1.0
38	0.0	0.0	0.0	0.0	0.0
39	0.0	0.0	0.0	0.0	0.0
40	0.0	0.0	0.0	0.0	0.0
41	0.0	0.0	0.0	0.0	0.0
42	0.0	0.0	0.0	0.0	0.0
