Id	HS	PT	GG	NL	#1#	TreeFull	TreeHominids
ENST00000367255	0.0009255028604367344	0.001272970566779021	0.0012210677386375632	0.005338967280094531	0.00016859675713374364	0.008927105203081593	0.003588137922987062
ENST00000570156	0.001593318958951209	0.003913017329414142	0.008814415134066484	0.019671239989014336	0.004152599280590118	0.03814459069203629	0.018473350703021953
ENST00000424728	0.002568260221788748	0.002665735455534093	0.004972738777756161	0.018738910034228104	0.00210521422553082	0.031050858714837926	0.012311948680609822
ENST00000358025	0.00273209889142455	0.0016254800603652895	0.002336752705362234	0.006640895525422887	0.0005209545772344532	0.013856181759809414	0.007215286234386527
ENST00000405460	0.002273207227080404	0.0010959850288251678	0.0022323603989803835	0.0018914082220265055	0.00014055492566601463	0.0076335158025784755	0.00574210758055197
ENST00000378024	0.006242175963228218	0.0028770039079503897	0.005244238617021465	0.03149251219994972	0.000970291812383958	0.04682622250053375	0.01533371030058403
ENST00000369393	0.0002010651424758812	0.00010358990873053642	0.0010252801707117277	0.0022684797548559402	0.00013815093919977977	0.003736565915973865	0.001468086161117925
ENST00000301067	0.0002754221725306768	0.001142732348884365	0.0008871845766916259	0.0071512282307127535	0.0007639797466820667	0.010220547075501489	0.0030693188447887343
ENST00000447166	0.005673136336599737	0.004559468911194256	0.004675198990392985	0.03126534229320987	0.002439600168780395	0.048612746700177234	0.017347404406967373
ENST00000508628	0.004444101247703247	0.005548321759271292	0.003244936413142582	0.058735702572151056	0.001429709339616986	0.07340277133188516	0.014667068759734107
ENST00000307340	0.0030867379679637413	0.0025960355551080793	0.002088800621756989	0.004618897566855899	0.00039516241322898945	0.012785634124913698	0.008166736558057799
ENST00000393567	0.0012301521403361897	0.0019297347680871779	0.0006335794392927875	0.01270069751803177	2.9208520699541287e-05	0.016523372386447466	0.0038226748684156964
ENST00000264501	0.0019652954855539063	0.0018678202518085615	0.002155151979707083	0.009799879572625144	0.0005667405558983998	0.016354887845593094	0.0065550082729679505
ENST00000394329	0.0009648321630849675	6.236594201748874e-05	0.001157778521969586	0.009019332766423966	0.000970291812383958	0.012174601205879966	0.0031552684394560004
ENST00000622037	0.0017019445054979856	0.002028827436406445	0.0029120834440130154	0.01079057242813325	0.0005462935020251502	0.017979721316075847	0.0071891488879425956
ENST00000443617	0.0015313287005250139	0.0016401453705540312	0.0025292660467317665	0.013195727004503692	0.0007642549310534834	0.019660722053367986	0.006464995048864295
ENST00000435803	0.0052526343132058085	0.003905469939602754	0.004254696966999056	0.016165298579105508	0.001080149750788515	0.03065824954970164	0.014492950970596134
ENST00000421745	0.0011117030675053532	0.0020495317879179655	0.0035587660166475675	0.011942975793470707	0.000970291812383958	0.01963326847792555	0.007690292684454844
ENST00000262189	0.0010719538100432578	0.00031618667120451947	0.0015689446653612419	0.0017685581095170499	0.00011977081703446705	0.004845414073160536	0.003076855963643486
ENST00000327475	0.0005270421652167016	0.0013202372196992368	0.0007051730632086032	0.0049651004511124825	0.00030340282468019027	0.007820955723917214	0.002855855272804732
ENST00000366574	0.002527151914375188	0.001982149262106679	0.0037487778869479873	0.012777501066995964	0.000970291812383958	0.022005871942809778	0.009228370875813813
ENST00000360184	0.0029744791416957345	0.0024464333953780498	0.0037571544054869808	0.015464470887821262	0.000970291812383958	0.025612829642765983	0.010148358754944723
ENST00000544440	0.0023229425783066306	0.0028770039079503897	0.003755284796679226	0.012202534756412857	0.0007531601211606969	0.021910926160509797	0.009708391404096944
ENST00000649046	0.0005761350290355198	0.00026034301677865064	0.0015740723752422723	0.0056164867134294565	0.0005346568675724812	0.00856169400205838	0.0029452072886289237
ENST00000261609	0.0029744791416957345	0.0028770039079503897	0.008267638406599463	0.015464470887821262	0.000970291812383958	0.030553884156450807	0.015089413268629545
ENST00000265104	0.0005161026661163735	0.0004768281904810501	0.0006185843894710471	0.001981120550534274	0.000970291812383958	0.004562927608986703	0.002581807058452429
ENST00000389484	0.00014315850913408082	0.0006997768340848603	0.001577205761947665	0.006946345778135866	0.00011772918494944455	0.009484216068251918	0.0025378702901160508
ENST00000409404	0.0009975427482398535	2.0173045055095137e-05	0.001995480094446606	0.00863850581742139	0.000531310242560145	0.012183011947723092	0.0035445061303016993
ENST00000243077	0.0014493136198184837	0.0023688738157164914	0.003972416487902487	0.011137112728591959	0.000970291812383958	0.019898008464413378	0.008760895735821419
ENST00000624552	0.001464261938900419	0.0010935723700872813	0.0028104419342481627	0.009315558110665707	0.00027074648829841287	0.014954580842199984	0.0056390227315342755
ENST00000290607	0.0029589521763066055	0.0028360417342288306	0.009039124451625469	0.027971952004509172	0.00298141475709381	0.04578748512376389	0.017815533119254715
ENST00000409039	0.0008376120315412594	0.00026130846382803417	0.000513907770770484	0.0019446615314803982	0.0008218233625976184	0.004379313160217794	0.002434651628737396
ENST00000233242	0.002998329235130305	0.0033177061673341527	0.004221627808864372	0.008417927447511978	0.0010166831210638165	0.019972273779904622	0.011554346332392646
ENST00000254579	0.0015028061527139237	0.004296306385010148	0.004101186460960813	0.005983467197732489	0.00014715159364650109	0.016030917790063874	0.010047450592331385
